始発停留所	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】	金沢駅【３】				
始発時間	06:30	06:50	07:10	07:30	07:50	08:00	08:25	09:25	09:40	10:10	10:40	11:25	12:25	12:40	13:25	13:40	14:25	15:25	15:40	16:40	17:10	17:40	18:40	19:10	19:50	21:10				
終点時間	07:01	07:21	07:41	08:04	08:24	08:34	08:59	09:59	10:14	10:44	11:14	11:59	12:59	13:14	13:59	14:14	14:59	15:59	16:14	17:14	17:44	18:14	19:11	19:41	20:21	21:41				
終点停留所	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	辰巳丘高校-B	東部車庫-A	辰巳丘高校-B	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A	東部車庫-A				
備考																														
県庁前-B																														
駅西合庁前（西念南方向）																														
西念西-B																														
西念南-B																														
広岡-B																														
金沢駅西口降車																														
金沢駅西口【５】																														
金沢駅東通り-B																														
金沢駅【３】	06:30	06:50	07:10	07:30	07:50	08:00	08:25	09:25	09:40	10:10	10:40	11:25	12:25	12:40	13:25	13:40	14:25	15:25	15:40	16:40	17:10	17:40	18:40	19:10	19:50	21:10				
リファーレ前-A	06:32	06:52	07:12	07:32	07:52	08:02	08:27	09:27	09:42	10:12	10:42	11:27	12:27	12:42	13:27	13:42	14:27	15:27	15:42	16:42	17:12	17:42	18:42	19:12	19:52	21:12				
武蔵ヶ辻（北陸銀行前）	06:34	06:54	07:14	07:34	07:54	08:04	08:29	09:29	09:44	10:14	10:44	11:29	12:29	12:44	13:29	13:44	14:29	15:29	15:44	16:44	17:14	17:44	18:44	19:14	19:54	21:14				
武蔵ヶ辻（かなざわはこまち前）	06:34	06:54	07:14	07:34	07:54	08:04	08:29	09:29	09:44	10:14	10:44	11:29	12:29	12:44	13:29	13:44	14:29	15:29	15:44	16:44	17:14	17:44	18:44	19:14	19:54	21:14				
尾張町-A	06:36	06:56	07:16	07:36	07:56	08:06	08:31	09:31	09:46	10:16	10:46	11:31	12:31	12:46	13:31	13:46	14:31	15:31	15:46	16:46	17:16	17:46	18:46	19:16	19:56	21:16				
橋場町（金城楼前）	06:37	06:57	07:17	07:37	07:57	08:07	08:32	09:32	09:47	10:17	10:47	11:32	12:32	12:47	13:32	13:47	14:32	15:32	15:47	16:47	17:17	17:47	18:47	19:17	19:57	21:17				
兼六園下（県駐車場前）	06:38	06:58	07:18	07:39	07:59	08:09	08:34	09:34	09:49	10:19	10:49	11:34	12:34	12:49	13:34	13:49	14:34	15:34	15:49	16:49	17:19	17:49	18:49	19:19	19:59	21:18				
出羽町-A	06:40	07:00	07:20	07:41	08:02	08:11	08:37	09:37	09:52	10:22	10:52	11:37	12:37	12:52	13:37	13:52	14:37	15:37	15:52	16:52	17:22	17:52	18:51	19:21	20:01	21:20				
石引町-A	06:41	07:01	07:21	07:42	08:03	08:12	08:38	09:38	09:53	10:23	10:53	11:38	12:38	12:53	13:38	13:53	14:38	15:38	15:53	16:53	17:23	17:53	18:52	19:22	20:02	21:21				
小立野大学病院前（降車場）	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				
小立野-A	06:42	07:02	07:22	07:43	08:04	08:13	08:39	09:39	09:54	10:24	10:54	11:39	12:39	12:54	13:39	13:54	14:39	15:39	15:54	16:54	17:24	17:54	18:53	19:23	20:03	21:22				
天徳院前-A	06:43	07:03	07:23	07:44	08:05	08:14	08:40	09:40	09:55	10:25	10:55	11:40	12:40	12:55	13:40	13:55	14:40	15:40	15:55	16:55	17:25	17:55	18:54	19:24	20:04	21:23				
小立野三丁目-A	06:44	07:04	07:24	07:45	08:06	08:15	08:41	09:41	09:56	10:26	10:56	11:41	12:41	12:56	13:41	13:56	14:41	15:41	15:56	16:56	17:26	17:56	18:55	19:25	20:05	21:24				
崎浦公民館-A	06:45	07:05	07:25	07:46	08:07	08:16	08:42	09:42	09:57	10:27	10:57	11:42	12:42	12:57	13:42	13:57	14:42	15:42	15:57	16:57	17:27	17:57	18:56	19:26	20:06	21:25				
