始発停留所	金沢駅【１】				
始発時間	17:45				
終点時間	19:39				
終点停留所	富来-D				
備考					
金沢駅【１】	17:45				
駅西合庁前（西念南から）	17:51				
県庁前-B	17:54				
向陽台（能登特急線）	18:07				
医大病院-B	18:11				
高松ＳＡ-B	18:28				
千里浜レストハウス	-				
羽咋中学校前-B	18:40				
羽咋駅前-A	18:43				
羽咋中央-A	18:47				
工業高校前-A	18:49				
一の宮-A	18:52				
柴垣-A	18:58				
大島-A	19:03				
高浜-D	19:08				
末吉-A	19:10				
堀松南-A	19:12				
米町-A	19:17				
直海-A	19:20				
三明-A	19:23				
荒屋-A	19:26				
富来-D	19:39				
領家口-A					
富来農協前-A					
中浜-C					
草江-A					
稲敷-A					
栢木-A					
西大福寺					
大福寺-A					
剱地-A					
腰細-B					
赤神（新）-C					
池田-A					
北川-A					
南黒島-A					
黒島-A					
新道道下					
総持寺前-A					
門前-B					
