始発停留所	光が丘住宅	南部車庫（車庫内）	額住宅駅	南部車庫（車庫内）	光が丘住宅	光が丘住宅	南部車庫（車庫内）	下森島-A	光が丘住宅	下森島-A	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	南部車庫（車庫内）	光が丘住宅	光が丘住宅	下森島-A	光が丘住宅	南部車庫（車庫内）	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	額住宅駅	南部車庫（車庫内）	下森島-A	光が丘住宅	鶴寿園	光が丘住宅	額住宅駅	南部車庫（車庫内）	光が丘住宅	額住宅駅	鶴寿園	下森島-A	光が丘住宅	南部車庫（車庫内）	鶴寿園	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	南部車庫（車庫内）	光が丘住宅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅		
始発時間	06:15	06:20	06:48	06:50	06:55	07:05	07:07	07:10	07:10	07:25	07:25	07:35	07:40	07:45	08:00	08:15	08:25	08:51	09:15	09:35	09:35	10:05	10:35	10:50	11:15	11:35	11:50	12:05	12:33	12:35	13:10	13:35	13:50	14:05	14:35	14:50	15:15	15:28	15:35	15:45	16:05	16:15	16:25	16:35	16:45	17:00	17:10	17:25	17:35	17:45	17:45	18:15	18:35	18:50	19:00	19:15	19:35	19:50	20:15	20:40	20:50	21:05	22:05		
終点時間	06:48	07:06	07:23	07:36	07:28	07:44	08:13	08:21	08:02	08:34	08:01	08:25	08:16	08:21	08:45	08:51	09:23	09:36	09:56	10:33	10:14	10:57	11:14	11:31	11:56	12:14	12:31	12:55	13:31	13:14	13:48	14:14	14:31	14:55	15:14	15:31	15:53	16:26	16:14	16:35	16:47	16:58	17:08	17:18	17:30	17:43	17:55	18:08	18:13	18:25	18:34	18:55	19:13	19:28	19:37	19:52	20:10	20:27	20:52	21:15	21:27	21:40	22:40		
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	小立野大学病院前（降車場）	映寿会みらい病院	金沢駅【降車場】	金沢駅【降車場】	県庁前-D	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】		
備考		ノンステップバス			ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス			ノンステップバス		ノンステップバス	ノンステップバス		ノンステップバス			ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス		ノンステップバス				ノンステップバス	ノンステップバス				ノンステップバス			ノンステップバス							ノンステップバス			ノンステップバス					
下森島-A								07:10		07:25										09:35									12:33									15:28																											
上森島-A								07:11		07:26										09:36									12:34									15:29																											
日向団地-B								07:12		07:27										09:37									12:35									15:30																											
七原町-B								07:14		07:29										09:39									12:37									15:32																											
深瀬新町-B								07:15		07:30										09:40									12:38									15:33																											
富光寺住宅前								07:17		07:32										09:42									12:40									15:35																											
