始発停留所	光が丘住宅	額住宅駅	光が丘住宅	南部車庫（車庫内）	下森島-A	光が丘住宅	光が丘住宅	南部車庫（車庫内）	下森島-A	光が丘住宅	光が丘住宅	下森島-A	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	南部車庫（車庫内）	光が丘住宅	額住宅駅	南部車庫（車庫内）	光が丘住宅	鶴寿園	光が丘住宅	額住宅駅	南部車庫（車庫内）	光が丘住宅	額住宅駅	光が丘住宅	鶴寿園	下森島-A	南部車庫（車庫内）	鶴寿園	光が丘住宅	額住宅駅	鶴寿園	光が丘住宅	額住宅駅	南部車庫（車庫内）	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅	額住宅駅	光が丘住宅	光が丘住宅
始発時間	06:15	06:48	07:05	07:10	07:28	07:35	08:00	08:15	08:28	08:55	09:20	09:30	10:00	10:20	10:35	10:55	11:05	11:35	11:50	12:05	12:35	12:55	13:15	13:47	13:50	14:20	14:45	15:05	15:25	15:28	15:50	16:15	16:35	16:50	17:10	17:30	17:50	17:58	18:30	18:50	19:10	19:35	20:00	20:25	21:00
終点時間	06:48	07:23	07:38	07:56	08:20	08:13	08:38	09:04	09:25	09:33	10:00	10:25	10:38	11:00	11:15	11:33	11:56	12:13	12:30	12:54	13:13	13:32	13:53	14:27	14:39	14:58	15:25	15:43	16:02	16:23	16:39	16:52	17:13	17:30	17:47	18:08	18:30	18:49	19:05	19:27	19:47	20:10	20:37	21:02	21:35
終点停留所	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】	金沢駅【降車場】
備考					ノンステップバス																	ノンステップバス	ノンステップバス				ノンステップバス						ノンステップバス												
下森島-A					07:28				08:28			09:30																		15:28															
上森島-A					07:29				08:29			09:31																		15:29															
日向団地-B					07:30				08:30			09:32																		15:30															
七原町-B					07:32				08:32			09:34																		15:32															
深瀬新町-B					07:33				08:33			09:35																		15:33															
富光寺住宅前					07:35				08:35			09:37																		15:35															
百々鶴荘前-B					07:36				08:36			09:38																		15:36															
南部車庫（車庫内）				07:10	-			08:15	-			-					11:05			12:05					13:50					-	15:50							17:58							
加賀産上林-B				07:12	-			08:17	-			-					11:07			12:07					13:52					-	15:52							18:00							
加賀産新庄-B				07:14	07:38			08:19	08:38			09:40					11:09			12:09					13:54					15:38	15:54							18:02							
