始発停留所	金沢駅【８】	金沢駅【８】	金沢駅【８】		
始発時間	21:48	22:18	22:58		
終点時間	22:30	22:52	23:43		
終点停留所	額住宅駅	光が丘住宅	南部車庫-A		
備考					
県庁前-B					
駅西合庁前（西念南方向）					
西念西-B					
西念南-B					
広岡-B					
金沢駅西口【５】					
金沢駅東通り-B					
金沢駅【８】	21:48	22:18	22:58		
リファーレ前-A	21:50	22:20	23:00		
武蔵ヶ辻（近江町市場前）	21:52	22:22	23:02		
南町-A	21:53	22:23	23:03		
香林坊（アトリオ前）	21:55	22:25	23:05		
片町（パシオン前）	21:58	22:28	23:08		
広小路（平和町方向）	-	22:30	-		
広小路（有松方向）	22:00	-	23:10		
野町-A	22:01	-	23:11		
泉一丁目-A	22:02	-	23:12		
泉二丁目-A	22:03	-	23:13		
有松（泉が丘方向）	22:04	-	23:14		
寺町五丁目-A	-	22:32	-		
沼田町-A	-	22:33	-		
泉野三丁目-A	-	22:34	-		
泉が丘（円光寺方向）	22:06	22:35	23:16		
泉丘高校前-A	22:08	22:36	23:18		
円光寺（郊外方向）	22:09	22:37	23:19		
窪（郊外方向）	22:11	22:39	23:21		
窪南（郊外方向）	22:12	22:40	23:22		
高尾新町-A	22:13	22:41	23:23		
高尾南一丁目-A	22:14	22:42	23:24		
高尾南三丁目-A	22:15	22:43	23:25		
高尾南二丁目-A	-	-	-		
金沢国際ホテル前-A	-	-	-		
大額新町-A	-	-	-		
鶴寿園	-	-	-		
額谷一丁目-B	-	-	-		
大額三丁目-B	-	-	-		
光が丘口（額住宅駅方向）	22:16	-	-		
光が丘口（四十万方向）	-	22:44	23:26		
大額二丁目-A	-	22:45	23:27		
光が丘住宅	-	22:52	-		
大額三丁目-A	-		23:28		
額中学校前-A	-		23:29		
しじま台-A	-		23:30		
四十万-C	-		23:31		
四十万五丁目-A	-		23:32		
額新町-A	22:17		-		
額住宅駅	22:30		-		
大額１丁目（下森島方向）			-		
額新保三丁目-A			-		
粟田-A			-		
下新庄-A			23:34		
四十万-A			-		
中四十万（南部車庫方向）			-		
加賀産新庄-A			23:35		
加賀産上林-A			23:36		
南部車庫-A			23:43		
百々鶴荘前-A					
富光寺住宅前					
深瀬新町-A					
七原町-A					
日向団地-A					
上森島-B					
下森島-B					
