始発停留所	上山	上山	上山		
始発時間	07:00	11:50	15:25		
終点時間	07:35	12:25	16:00		
終点停留所	飯田港	飯田港	飯田港		
備考					
町野-A					
鈴屋					
中鈴屋					
上鈴屋					
下寺山					
大久保					
八太郎峠					
上山	07:00	11:50	15:25		
洲巻	07:03	11:53	15:28		
上黒丸	07:06	11:56	15:31		
宗末	07:08	11:58	15:33		
上正力	07:11	12:01	15:36		
中	07:13	12:03	15:38		
真吉口	07:14	12:04	15:39		
大坊	07:15	12:05	15:40		
宇都山-A	07:16	12:06	15:41		
延武-A	07:17	12:07	15:42		
火宮	07:18	12:08	15:43		
古蔵-A	07:20	12:10	15:45		
中田口-A	07:21	12:11	15:46		
経念-A	07:22	12:12	15:47		
鈴内口-A	07:23	12:13	15:48		
出田	07:24	12:14	15:49		
出田川辺-A	07:25	12:15	15:50		
飯田栄町北-A	07:26	12:16	15:51		
飯田高校下	07:28	12:18	15:53		
珠洲市総合病院前-A	07:30	12:20	15:55		
すずなり館前-C	07:32	12:22	15:57		
昭和橋	07:33	12:23	15:58		
吾妻橋-B	07:34	12:24	15:59		
飯田港	07:35	12:25	16:00		
