始発停留所	高浜-C	高浜-C	高浜-C	高浜-C	高浜-C	高浜-C				
始発時間	06:55	08:10	09:35	14:05	16:50	19:05				
終点時間	07:52	09:02	10:27	14:57	17:42	19:57				
終点停留所	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】	七尾駅前【１】				
備考										
高浜-C	06:55	08:10	09:35	14:05	16:50	19:05				
末吉-A	06:56	08:11	09:36	14:06	16:51	19:06				
清水-A	06:58	08:13	09:38	14:08	16:53	19:08				
堀松南-A	07:00	08:15	09:40	14:10	16:55	19:10				
吉田-B	07:02	08:16	09:42	14:11	16:56	19:11				
梨谷-B	07:03	08:17	09:43	14:12	16:57	19:12				
石川県緑化センター前-B	07:05	08:18	09:45	14:13	16:58	19:13				
火打谷-B	07:06	08:19	09:46	14:14	16:59	19:14				
牧山-B	07:08	08:21	09:48	14:16	17:01	19:16				
土田支所前-B	07:10	08:23	09:50	14:18	17:03	19:18				
代田-B	07:11	08:24	09:51	14:19	17:04	19:19				
土田学校前-B	07:12	08:25	09:52	14:20	17:05	19:20				
矢田-B	07:13	08:26	09:53	14:21	17:06	19:21				
徳田-B	07:14	08:27	09:54	14:22	17:07	19:22				
大津西口-B	07:16	08:29	09:56	14:24	17:09	19:24				
大津-B	07:17	08:30	09:57	14:25	17:10	19:25				
大津口-B	07:19	08:32	09:59	14:27	17:12	19:27				
深見口-B	07:20	08:33	10:00	14:28	17:13	19:28				
白浜-B	07:21	08:34	10:01	14:29	17:14	19:29				
白浜東-B	07:22	08:35	10:02	14:30	17:15	19:30				
三引口-B	07:23	08:36	10:03	14:31	17:16	19:31				
ＪＡ田鶴浜支店前-B	07:24	08:37	10:04	14:32	17:17	19:32				
川尻-B	07:26	08:39	10:06	14:34	17:19	19:34				
舟尾-B	07:27	08:40	10:07	14:35	17:20	19:35				
田鶴浜住宅前-B	07:28	08:41	10:08	14:36	17:21	19:36				
奥原-B	07:29	08:42	10:09	14:37	17:22	19:37				
和倉駅前-B	07:31	08:44	10:11	14:39	17:24	19:39				
石崎口-B	07:32	08:45	10:12	14:40	17:25	19:40				
祖浜-B	07:34	08:46	10:14	14:41	17:26	19:41				
松百-B	07:36	08:47	10:16	14:42	17:27	19:42				
国立七尾病院前-B	07:37	08:48	10:17	14:43	17:28	19:43				
松百新町-B	07:38	08:49	10:18	14:44	17:29	19:44				
津向町-B	07:41	08:50	10:20	14:45	17:30	19:45				
小島町三丁目-B	07:43	08:51	10:21	14:46	17:31	19:46				
小島橋-B	07:46	08:53	10:23	14:48	17:33	19:48				
小丸山公園下-B	07:49	08:55	10:25	14:50	17:35	19:50				
七尾駅前【１】	07:52	09:02	10:27	14:57	17:42	19:57				
