始発停留所	七尾駅前【４】				
始発時間	18:00				
終点時間	18:52				
終点停留所	高浜-E				
備考					
七尾駅前【４】	18:00				
小丸山公園下-A	18:02				
小島橋-A	18:03				
小島町三丁目-A	18:05				
津向町-A	18:06				
松百新町-A	18:07				
国立七尾病院前-A	18:08				
松百-A	18:09				
祖浜-A	18:10				
石崎口-A	18:11				
和倉駅前-A	18:12				
奥原-A	18:14				
田鶴浜住宅前-A	18:16				
舟尾-A	18:17				
川尻-A	18:18				
ＪＡ田鶴浜支店前-A	18:20				
三引口-A	18:21				
白浜東-A	18:22				
白浜-A	18:23				
深見口-A	18:24				
大津口-A	18:25				
大津-A	18:27				
大津西口-A	18:28				
徳田-A	18:30				
矢田-A	18:31				
土田学校前-A	18:32				
代田-A	18:33				
土田支所前-A	18:34				
牧山-A	18:36				
火打谷-A	18:38				
石川県緑化センター前-A	18:39				
梨谷-A	18:40				
吉田-A	18:41				
堀松南-B	18:42				
清水-B	18:44				
末吉-B	18:46				
高浜-E	18:52				
