始発停留所	柳橋（始発）	柳橋（始発）	柳橋（始発）		
始発時間	19:05	20:05	21:05		
終点時間	19:39	20:36	21:36		
終点停留所	西金沢-D	西金沢-D	西金沢-D		
備考					
柳橋（始発）	19:05	20:05	21:05		
神谷内-B	19:06	20:06	21:06		
小坂中-B	19:07	20:07	21:07		
星稜高校（駐車場内）	-	-	-		
御所町-B	-	-	-		
鳴和台-D	-	-	-		
桜丘高校前-B	-	-	-		
小坂-B	19:08	20:08	21:08		
鳴和-B	19:09	20:09	21:09		
春日町（東署方向）	19:11	20:11	21:11		
神宮寺町（東署方向）	19:12	20:12	21:12		
東警察署前（金沢駅方向）	19:13	20:13	21:13		
浅野町小学校前-B	19:14	20:14	21:14		
中島大橋-B	19:15	20:15	21:15		
金沢駅【１１】	19:22	20:19	21:19		
六枚町（労金前）	19:24	20:20	21:20		
三社-A	19:25	20:21	21:21		
長土塀-A	19:26	20:22	21:22		
富本町（増泉方向）	19:28	20:24	21:24		
中村町-A	19:29	20:25	21:25		
増泉（西金沢方向）	19:30	20:26	21:26		
泉本町-A	19:31	20:27	21:27		
西泉（西金沢駅方向）	19:33	20:29	21:29		
米泉-A	19:34	20:30	21:30		
西金沢-D	19:39	20:36	21:36		
