始発停留所	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）	内灘駅（ターミナル内）
始発時間	20:34	21:04	21:34	22:04	22:34
終点時間	20:44	21:14	21:44	22:14	22:44
終点停留所	医大病院-B	医大病院-B	医大病院-B	医大病院-B	医大病院-B
備考	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス	ノンステップバス
内灘駅（ターミナル内）	20:34	21:04	21:34	22:04	22:34
向陽台（マルエー前）	20:35	21:05	21:35	22:05	22:35
向陽台（能登特急線）	20:35	21:05	21:35	22:05	22:35
鶴ケ丘四丁目（医大方向）	20:37	21:07	21:37	22:07	22:37
鶴ケ丘五丁目-A	20:38	21:08	21:38	22:08	22:38
大根布六丁目-A	20:39	21:09	21:39	22:09	22:39
大清台-A	20:40	21:10	21:40	22:10	22:40
大学前-A	20:41	21:11	21:41	22:11	22:41
医大病院-B	20:44	21:14	21:44	22:14	22:44
内灘町福祉センター-A					
内灘町総合公園					
内灘温泉病院-A					
白帆台ニュータウン					
