始発停留所	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）	武蔵ヶ辻（近江町市場前）		
始発時間	17:00	19:00	20:30		
終点時間	17:35	19:30	20:55		
終点停留所	新金沢郵便局前	新金沢郵便局前	西金四丁目-A		
備考					
工業試験場					
金沢西高校-B					
市立工業高校東口					
藤江北-B					
県庁前-C					
中央病院前					
映寿会みらい病院					
駅西合庁前（西念南方向）					
西念西-B					
西念南-B					
広岡-B					
金沢駅西口降車					
金沢駅西口【７】					
広岡口（大豆田方向）					
元菊町-A					
武蔵ヶ辻（近江町市場前）	17:00	19:00	20:30		
南町-A	17:01	19:01	20:31		
香林坊（アトリオ前）	17:03	19:03	20:33		
片町中央通り-A	17:06	19:06	20:36		
長町-A	17:07	19:07	20:37		
富本町（大豆田方向）	17:11	19:10	20:40		
長土塀西-A	17:12	19:11	20:41		
大豆田（金沢駅西口から）	-	-	-		
大豆田（信開向）	17:13	19:12	20:42		
若宮町-A	17:14	19:13	20:43		
玉鉾二丁目-A	17:16	19:15	20:45		
入江西-A	17:17	19:16	20:46		
米丸学校前（東力方向）	17:18	19:17	20:47		
東力-A	17:19	19:18	20:48		
黒田-A	17:20	19:19	20:49		
西金四丁目-A	17:21	19:20	20:55		
西南部小学校前-A	17:23	19:22			
新保本５丁目	17:24	19:23			
新金沢郵便局前	17:35	19:30			
入江一丁目-A					
新神田（上荒屋方向）					
糸田町-A					
保古町-A					
西金新町-A					
西金三丁目（上荒屋方向）					
八日市出町-A					
新保本町-B					
森戸-B					
矢木-A					
上荒屋-A					
上荒屋大橋-A					
上荒屋西-A					
